target_gene,n_compounds_hit,hub_frac,hub_flag
AGPAT3,290,0.0017791301893853413,specific
AGPAT4,330,0.0020245274568867675,specific
AGPAT5,243,0.0014907884000711653,specific
AGPS,266,0.0016318918288844855,specific
AGR2,295,0.0018098048478230194,specific
AGR3,496,0.003042926117017687,frequent
AGRN,473,0.002901822688204367,specific
AGRP,191,0.001171771952319311,specific
AGT,519,0.0031840295458310072,frequent
AGTPBP1,400,0.0024539726750142637,specific
AGTR1,154,0.0009447794798804915,specific
AGTR2,708,0.0043435316347752466,frequent
AGTRAP,168,0.0010306685235059907,specific
AGXT,58,0.00035582603787706824,specific
AGXT2,601,0.0036870939442089313,frequent
AHCTF1,440,0.00269936994251569,specific
AHCY,1270,0.007791363243170288,frequent
AHCYL1,75,0.00046011987656517444,specific
AHCYL2,293,0.0017975349844479482,specific
AHDC1,515,0.0031594898190808645,frequent
AHI1,187,0.0011472322255691684,specific
AHNAK,444,0.002723909669265833,specific
AHNAK2,238,0.001460113741633487,specific
AHR,562,0.0034478316083950407,frequent
AHRR,560,0.003435561745019969,frequent
AHSA1,514,0.0031533548873933287,frequent
AHSA2,402,0.002466242538389335,specific
AHSG,143,0.0008772952313175992,specific
AHSP,277,0.0016993760774473776,specific
AICDA,321,0.0019693130716989466,specific
AIDA,583,0.0035766651738332895,frequent
AIF1,380,0.0023312740412635507,specific
AIF1L,205,0.0012576609959448102,specific
AIFM1,144,0.0008834301630051349,specific
AIFM2,322,0.0019754480033864824,specific
AIFM3,251,0.0015398678535714504,specific
AIG1,260,0.0015950822387592715,specific
AIM2,315,0.0019325034815737326,specific
AIMP1,422,0.0025889411721400483,specific
AIMP2,91,0.000558278783565745,specific
AIP,634,0.003889546689897608,frequent
AIPL1,91,0.000558278783565745,specific
AIRE,331,0.0020306623885743033,specific
AJAP1,872,0.005349660431531095,frequent
AJM1,1161,0.007122655689228901,frequent
AJUBA,234,0.0014355740148833443,specific
AK1,260,0.0015950822387592715,specific
AK2,88,0.000539873988503138,specific
AK3,538,0.003300593247894185,frequent
AK4,838,0.005141072754154883,frequent
AK5,222,0.0013619548346329165,specific
AK7,542,0.0033251329746443272,frequent
AK8,47,0.000288341789314176,specific
AK9,100,0.0006134931687535659,specific
AKAIN1,403,0.0024723774700768707,specific
AKAP1,691,0.0042392377960871405,frequent
AKAP10,481,0.002950902141704652,specific
AKAP11,233,0.0014294390831958085,specific
AKAP12,468,0.0028711480297666887,specific
AKAP13,642,0.003938626143397893,frequent
AKAP14,602,0.0036932288758964667,frequent
AKAP17A,500,0.0030674658437678296,frequent
AKAP2,760,0.004662548082527101,frequent
AKAP3,147,0.0009018349580677419,specific
AKAP4,191,0.001171771952319311,specific
AKAP5,577,0.0035398555837080755,frequent
AKAP6,460,0.002822068576266403,specific
AKAP7,191,0.001171771952319311,specific
AKAP8,553,0.0033926172232072197,frequent
AKAP8L,362,0.002220845270887909,specific
AKAP9,283,0.0017361856675725915,specific
AKIP1,191,0.001171771952319311,specific
AKIRIN1,408,0.002503052128514549,specific
AKIRIN2,507,0.0031104103655805793,frequent
AKNA,296,0.0018159397795105552,specific
AKNAD1,324,0.0019877178667615535,specific
AKR1A1,291,0.0017852651210728768,specific
AKR1B1,346,0.002122686363887338,specific
AKR1B10,255,0.0015644075803215932,specific
AKR1B15,286,0.0017545904626351985,specific
AKR1C1,1529,0.009380310550242023,frequent
AKR1C2,459,0.0028159336445788678,specific
AKR1C3,535,0.003282188452831578,frequent
AKR1C4,124,0.0007607315292544217,specific
AKR1D1,372,0.002282194587763265,specific
AKR1E2,169,0.0010368034551935265,specific
AKR7A2,729,0.004472365200213496,frequent
AKR7A3,1021,0.0062637652529739084,frequent
AKT1,232,0.001423304151508273,specific
AKT1S1,630,0.0038650069631474653,frequent
